Year,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Russian ruble,South African rand,Canadian dollar,Australian dollar
2011,29%,39%,13%,35%,22%,17%,24%,25%,29%,35%,29%,24%,29%,17%,36%,37%,25%,39%,30%,29%
2012,41%,56%,16%,46%,37%,27%,61%,30%,41%,77%,41%,36%,41%,33%,60%,55%,39%,56%,49%,41%
2013,52%,66%,42%,51%,45%,35%,79%,39%,52%,81%,52%,56%,52%,40%,72%,77%,40%,66%,54%,52%
2014,11%,15%,25%,8%,12%,-5%,47%,-2%,11%,59%,11%,43%,11%,9%,26%,40%,0%,15%,20%,11%
2015,11%,31%,43%,15%,23%,7%,50%,1%,11%,73%,11%,46%,11%,9%,28%,45%,5%,31%,119%,11%
2016,-3%,29%,26%,7%,29%,-6%,39%,-7%,-3%,90%,-2%,43%,-3%,5%,19%,39%,-2%,29%,135%,-3%
2017,5%,43%,32%,38%,35%,4%,54%,7%,5%,147%,5%,51%,5%,13%,30%,248%,9%,43%,112%,5%
2018,19%,42%,44%,42%,42%,12%,63%,13%,19%,200%,19%,71%,19%,16%,46%,285%,9%,42%,125%,19%
2019,18%,48%,39%,49%,53%,12%,76%,18%,18%,317%,18%,80%,18%,15%,48%,284%,13%,48%,169%,18%
2020,39%,78%,63%,70%,72%,30%,114%,42%,39%,453%,39%,106%,39%,25%,75%,308%,38%,78%,185%,39%
